transaction_id,deterministic_invoice,deterministic_score,deterministic_status,expected_invoice,ai_decision,ai_invoice,ai_confidence,ai_risk,verification_decision,deterministic_correct
B0476,INV0476,100.0,MATCHED,INV0476,,,,,,True
B0337,INV0337,100.0,MATCHED,INV0337,,,,,,True
B0441,INV0441,100.0,MATCHED,INV0441,,,,,,True
B0174,INV0174,100.0,MATCHED,INV0174,,,,,,True
B0003,INV0003,100.0,MATCHED,INV0003,,,,,,True
B0334,INV0334,100.0,MATCHED,INV0334,,,,,,True
B0410,INV0410,100.0,MATCHED,INV0410,,,,,,True
B0071,INV0071,100.0,MATCHED,INV0071,,,,,,True
B0210,INV0210_DUP,100.0,WARNING,INV0210,MATCH,INV0210_DUP,95.0,LOW,REVIEW,True
B0064,INV0064,100.0,MATCHED,INV0064,,,,,,True
B0385,INV0385,100.0,MATCHED,INV0385,,,,,,True
B0094,INV0094,100.0,MATCHED,INV0094,,,,,,True
B0486,INV0486,100.0,MATCHED,INV0486,,,,,,True
B0186,INV0186,100.0,MATCHED,INV0186,,,,,,True
B0034,INV0034,100.0,MATCHED,INV0034,,,,,,True
B0078,INV0078,100.0,MATCHED,INV0078,,,,,,True
B0001,INV0001,100.0,MATCHED,INV0001,,,,,,True
B0012,INV0012,100.0,MATCHED,INV0012,,,,,,True
B0416,,46.25,EXCEPTION,INV0416,REVIEW,,0.0,LOW,REVIEW,False
B0023,INV0023,100.0,MATCHED,INV0023,,,,,,True
B0073,INV0073,100.0,MATCHED,INV0073,,,,,,True
B0183,INV0183,100.0,WARNING,INV0183,MATCH,INV0183,95.0,LOW,MATCHED,True
B0132,INV0132,100.0,MATCHED,INV0132,,,,,,True
B0411,INV0411,100.0,MATCHED,INV0411,,,,,,True
B0194,INV0194,100.0,MATCHED,INV0194,,,,,,True
B0056,INV0056,100.0,MATCHED,INV0056,,,,,,True
B0149,INV0149,100.0,MATCHED,INV0149,,,,,,True
B0019,INV0019,100.0,MATCHED,INV0019,,,,,,True
B0205,INV0205,100.0,MATCHED,INV0205,,,,,,True
B0079,INV0079,100.0,MATCHED,INV0079,,,,,,True
B0495,INV0495,100.0,MATCHED,INV0495,,,,,,True
B0263,INV0263,100.0,MATCHED,INV0263,,,,,,True
B0324,INV0324_DUP,100.0,WARNING,INV0324,MATCH,INV0324,95.0,LOW,REVIEW,True
B0484,INV0484,100.0,MATCHED,INV0484,,,,,,True
B0080,INV0080,100.0,MATCHED,INV0080,,,,,,True
B0040,INV0040,100.0,MATCHED,INV0040,,,,,,True
B0452,INV0452,100.0,MATCHED,INV0452,,,,,,True
B0047,INV0047,100.0,MATCHED,INV0047,,,,,,True
B0239,INV0239,100.0,MATCHED,INV0239,,,,,,True
B0392,INV0392,100.0,MATCHED,INV0392,,,,,,True
B0353,INV0353,100.0,MATCHED,INV0353,,,,,,True
B0342,INV0342_DUP,100.0,WARNING,INV0342,MATCH,INV0342_DUP,95.0,LOW,MATCHED,True
B0278,INV0278,100.0,MATCHED,INV0278,,,,,,True
B0291,INV0291,100.0,MATCHED,INV0291,,,,,,True
B0318,INV0318,100.0,MATCHED,INV0318,,,,,,True
B0305,INV0305,100.0,MATCHED,INV0305,,,,,,True
B0269,INV0432,70.0,WARNING,INV0269,REVIEW,,55.0,LOW,REVIEW,False
B0070,INV0070,100.0,MATCHED,INV0070,,,,,,True
B0456,INV0456,100.0,MATCHED,INV0456,,,,,,True
B0466,INV0466,100.0,MATCHED,INV0466,,,,,,True
B0155,INV0155,100.0,MATCHED,INV0155,,,,,,True
B0083,INV0083,100.0,MATCHED,INV0083,,,,,,True
B0478,INV0478,100.0,MATCHED,INV0478,,,,,,True
B0173,INV0173,100.0,MATCHED,INV0173,,,,,,True
B0322,INV0322,100.0,MATCHED,INV0322,,,,,,True
B0091,INV0091,100.0,MATCHED,INV0091,,,,,,True
B0181,INV0181_DUP,100.0,WARNING,INV0181,MATCH,INV0181_DUP,95.0,LOW,REVIEW,True
B0415,INV0415,100.0,MATCHED,INV0415,,,,,,True
B0313,INV0166,70.0,WARNING,INV0313,REVIEW,,55.0,LOW,REVIEW,False
B0279,INV0279,100.0,MATCHED,INV0279,,,,,,True
B0382,INV0382,100.0,MATCHED,INV0382,,,,,,True
B0473,INV0473,100.0,MATCHED,INV0473,,,,,,True
B0363,,47.69230769230769,EXCEPTION,INV0363,REVIEW,,47.0,LOW,REVIEW,False
B0325,INV0325,100.0,MATCHED,INV0325,,,,,,True
B0432,INV0432,100.0,MATCHED,INV0432,,,,,,True
B0348,INV0348,100.0,MATCHED,INV0348,,,,,,True
B0087,INV0087,100.0,MATCHED,INV0087,,,,,,True
B0076,INV0076,100.0,MATCHED,INV0076,,,,,,True
B0439,INV0439,100.0,MATCHED,INV0439,,,,,,True
B0016,INV0016,100.0,MATCHED,INV0016,,,,,,True
B0250,INV0250,100.0,MATCHED,INV0250,,,,,,True
B0434,INV0434,100.0,MATCHED,INV0434,,,,,,True
B0020,INV0020,100.0,MATCHED,INV0020,,,,,,True
B0323,INV0323,100.0,MATCHED,INV0323,,,,,,True
B0333,INV0333,100.0,MATCHED,INV0333,,,,,,True
B0057,INV0057,100.0,MATCHED,INV0057,,,,,,True
B0302,INV0302,100.0,WARNING,INV0302,MATCH,INV0302,95.0,LOW,REVIEW,True
B0230,INV0230,100.0,MATCHED,INV0230,,,,,,True
B0332,INV0332,100.0,MATCHED,INV0332,,,,,,True
B0133,INV0133,100.0,MATCHED,INV0133,,,,,,True
B0138,INV0138,100.0,MATCHED,INV0138,,,,,,True
B0424,INV0424,100.0,MATCHED,INV0424,,,,,,True
B0336,INV0336,100.0,MATCHED,INV0336,,,,,,True
B0026,INV0026,100.0,MATCHED,INV0026,,,,,,True
B0465,INV0465,100.0,MATCHED,INV0465,,,,,,True
B0282,INV0282,100.0,MATCHED,INV0282,,,,,,True
B0248,INV0248,100.0,MATCHED,INV0248,,,,,,True
B0238,INV0238,100.0,MATCHED,INV0238,,,,,,True
B0118,INV0118,100.0,MATCHED,INV0118,,,,,,True
B0043,INV0043,100.0,MATCHED,INV0043,,,,,,True
B0221,INV0221,100.0,WARNING,INV0221,MATCH,INV0221,100.0,LOW,MATCHED,True
B0177,INV0177,100.0,MATCHED,INV0177,,,,,,True
B0321,INV0321,100.0,MATCHED,INV0321,,,,,,True
B0154,INV0154,100.0,MATCHED,INV0154,,,,,,True
B0232,INV0232,100.0,MATCHED,INV0232,,,,,,True
B0228,INV0228,100.0,MATCHED,INV0228,,,,,,True
B0418,INV0418_DUP,100.0,WARNING,INV0418,MATCH,INV0418_DUP,95.0,LOW,MATCHED,True
B0204,INV0204,100.0,MATCHED,INV0204,,,,,,True
B0127,,69.52380952380952,EXCEPTION,INV0127,REVIEW,,50.0,LOW,REVIEW,False
B0330,INV0330,100.0,MATCHED,INV0330,,,,,,True
B0032,,58.25,EXCEPTION,INV0032,REVIEW,,58.25,LOW,REVIEW,False
B0114,INV0114,100.0,MATCHED,INV0114,,,,,,True
B0471,INV0471,100.0,MATCHED,INV0471,,,,,,True
B0272,INV0272,100.0,MATCHED,INV0272,,,,,,True
B0141,INV0141,100.0,MATCHED,INV0141,,,,,,True
B0058,INV0058,100.0,MATCHED,INV0058,,,,,,True
B0193,INV0193,100.0,MATCHED,INV0193,,,,,,True
B0025,INV0025,100.0,MATCHED,INV0025,,,,,,True
B0018,INV0018,100.0,MATCHED,INV0018,,,,,,True
B0266,INV0266,100.0,MATCHED,INV0266,,,,,,True
B0067,INV0067,100.0,MATCHED,INV0067,,,,,,True
B0209,INV0209,100.0,MATCHED,INV0209,,,,,,True
B0480,INV0480,100.0,MATCHED,INV0480,,,,,,True
B0095,INV0095,100.0,MATCHED,INV0095,,,,,,True
B0254,INV0254,100.0,MATCHED,INV0254,,,,,,True
B0267,INV0267,100.0,MATCHED,INV0267,,,,,,True
B0024,INV0024,100.0,MATCHED,INV0024,,,,,,True
B0223,INV0223,100.0,MATCHED,INV0223,,,,,,True
B0262,INV0262,100.0,MATCHED,INV0262,,,,,,True
B0427,INV0427,100.0,MATCHED,INV0427,,,,,,True
B0006,INV0006,100.0,MATCHED,INV0006,,,,,,True
B0117,INV0117,100.0,MATCHED,INV0117,,,,,,True
B0046,INV0046,100.0,MATCHED,INV0046,,,,,,True
B0017,INV0017,100.0,MATCHED,INV0017,,,,,,True
B0463,INV0463,100.0,MATCHED,INV0463,,,,,,True
B0358,INV0358,100.0,MATCHED,INV0358,,,,,,True
B0004,INV0004,100.0,MATCHED,INV0004,,,,,,True
B0219,INV0219,100.0,MATCHED,INV0219,,,,,,True
B0406,INV0406,100.0,MATCHED,INV0406,,,,,,True
B0061,INV0061,100.0,MATCHED,INV0061,,,,,,True
B0111,INV0111,100.0,MATCHED,INV0111,,,,,,True
B0319,INV0319,100.0,MATCHED,INV0319,,,,,,True
B0429,INV0091,70.0,WARNING,INV0429,REVIEW,,55.0,LOW,REVIEW,False
B0030,INV0030,100.0,MATCHED,INV0030,,,,,,True
B0438,INV0438,100.0,MATCHED,INV0438,,,,,,True
B0472,INV0472,100.0,MATCHED,INV0472,,,,,,True
B0027,INV0027,100.0,MATCHED,INV0027,,,,,,True
B0008,INV0008,100.0,MATCHED,INV0008,,,,,,True
B0454,INV0454,100.0,MATCHED,INV0454,,,,,,True
B0109,INV0109,100.0,MATCHED,INV0109,,,,,,True
B0038,INV0038,100.0,MATCHED,INV0038,,,,,,True
B0158,INV0158,100.0,MATCHED,INV0158,,,,,,True
B0490,INV0490,100.0,MATCHED,INV0490,,,,,,True
B0119,INV0119,100.0,MATCHED,INV0119,,,,,,True
B0115,INV0115,100.0,MATCHED,INV0115,,,,,,True
B0176,,55.78947368421053,EXCEPTION,INV0176,REVIEW,,55.0,LOW,REVIEW,False
B0374,INV0374,100.0,MATCHED,INV0374,,,,,,True
B0182,INV0182,100.0,MATCHED,INV0182,,,,,,True
B0145,INV0480,70.0,WARNING,INV0145,MATCH,INV0480,95.0,LOW,REVIEW,False
B0370,INV0370,100.0,MATCHED,INV0370,,,,,,True
B0391,INV0391,100.0,MATCHED,INV0391,,,,,,True
B0196,INV0196,100.0,MATCHED,INV0196,,,,,,True
B0405,INV0405,100.0,MATCHED,INV0405,,,,,,True
B0276,INV0276,100.0,MATCHED,INV0276,,,,,,True
B0455,INV0455,100.0,MATCHED,INV0455,,,,,,True
B0142,INV0142,100.0,MATCHED,INV0142,,,,,,True
B0366,,52.5,EXCEPTION,INV0366,REVIEW,,52.5,LOW,REVIEW,False
B0068,INV0068,100.0,MATCHED,INV0068,,,,,,True
B0211,INV0211,100.0,MATCHED,INV0211,,,,,,True
B0169,INV0169,100.0,MATCHED,INV0169,,,,,,True
B0494,INV0494,100.0,MATCHED,INV0494,,,,,,True
B0376,INV0376,100.0,MATCHED,INV0376,,,,,,True
B0401,INV0401,100.0,MATCHED,INV0401,,,,,,True
B0273,INV0273,100.0,MATCHED,INV0273,,,,,,True
B0110,INV0110,100.0,MATCHED,INV0110,,,,,,True
B0249,INV0249,100.0,MATCHED,INV0249,,,,,,True
B0146,INV0146,100.0,MATCHED,INV0146,,,,,,True
B0093,INV0093,100.0,MATCHED,INV0093,,,,,,True
B0153,INV0153,100.0,MATCHED,INV0153,,,,,,True
B0368,INV0368,100.0,WARNING,INV0368,MATCH,INV0368,100.0,LOW,REVIEW,True
B0468,INV0468,100.0,MATCHED,INV0468,,,,,,True
B0084,INV0084,100.0,MATCHED,INV0084,,,,,,True
B0246,INV0246,100.0,MATCHED,INV0246,,,,,,True
B0166,INV0166,100.0,MATCHED,INV0166,,,,,,True
B0164,INV0164,100.0,MATCHED,INV0164,,,,,,True
B0200,INV0200,100.0,MATCHED,INV0200,,,,,,True
B0229,INV0229,100.0,MATCHED,INV0229,,,,,,True
B0075,INV0075,100.0,MATCHED,INV0075,,,,,,True
B0479,INV0479,100.0,MATCHED,INV0479,,,,,,True
B0359,INV0359,100.0,MATCHED,INV0359,,,,,,True
B0251,INV0251,100.0,MATCHED,INV0251,,,,,,True
B0120,INV0120,100.0,MATCHED,INV0120,,,,,,True
B0311,INV0311,100.0,MATCHED,INV0311,,,,,,True
B0300,INV0300,100.0,MATCHED,INV0300,,,,,,True
B0256,INV0256,100.0,MATCHED,INV0256,,,,,,True
B0355,INV0355,100.0,MATCHED,INV0355,,,,,,True
B0400,INV0400,100.0,MATCHED,INV0400,,,,,,True
B0226,INV0226,100.0,MATCHED,INV0226,,,,,,True
B0354,INV0354,100.0,MATCHED,INV0354,,,,,,True
B0235,INV0235,100.0,MATCHED,INV0235,,,,,,True
B0383,INV0383,100.0,MATCHED,INV0383,,,,,,True
B0275,INV0275,100.0,MATCHED,INV0275,,,,,,True
B0037,INV0037,100.0,MATCHED,INV0037,,,,,,True
B0197,INV0197,100.0,MATCHED,INV0197,,,,,,True
B0140,INV0140,100.0,MATCHED,INV0140,,,,,,True
B0365,INV0365,100.0,MATCHED,INV0365,,,,,,True
B0245,INV0245,100.0,MATCHED,INV0245,,,,,,True
B0440,INV0440,100.0,MATCHED,INV0440,,,,,,True
B0287,INV0287,100.0,MATCHED,INV0287,,,,,,True
B0060,INV0060,100.0,MATCHED,INV0060,,,,,,True
B0112,INV0112,100.0,MATCHED,INV0112,,,,,,True
B0090,INV0090,100.0,MATCHED,INV0090,,,,,,True
B0437,INV0437,100.0,MATCHED,INV0437,,,,,,True
B0007,INV0007,100.0,MATCHED,INV0007,,,,,,True
B0361,INV0361,100.0,MATCHED,INV0361,,,,,,True
B0347,INV0347,100.0,MATCHED,INV0347,,,,,,True
B0339,INV0339,100.0,MATCHED,INV0339,,,,,,True
B0159,INV0159,100.0,MATCHED,INV0159,,,,,,True
B0151,INV0151,100.0,MATCHED,INV0151,,,,,,True
B0178,INV0178,100.0,WARNING,INV0178,MATCH,INV0178,100.0,LOW,MATCHED,True
B0394,INV0394,100.0,MATCHED,INV0394,,,,,,True
B0185,INV0185,100.0,MATCHED,INV0185,,,,,,True
B0450,INV0450,100.0,MATCHED,INV0450,,,,,,True
B0011,INV0011,100.0,MATCHED,INV0011,,,,,,True
B0381,INV0381,100.0,MATCHED,INV0381,,,,,,True
B0104,INV0104,100.0,MATCHED,INV0104,,,,,,True
B0082,,63.75,EXCEPTION,INV0082,REVIEW,,50.0,LOW,REVIEW,False
B0039,INV0039,100.0,MATCHED,INV0039,,,,,,True
B0315,INV0315,100.0,MATCHED,INV0315,,,,,,True
B0168,INV0168,100.0,MATCHED,INV0168,,,,,,True
B0470,INV0479,82.0,WARNING,INV0470,REVIEW,,55.0,LOW,REVIEW,False
B0297,INV0297,100.0,MATCHED,INV0297,,,,,,True
B0475,INV0475,100.0,MATCHED,INV0475,,,,,,True
B0199,INV0199,100.0,MATCHED,INV0199,,,,,,True
B0298,INV0298,100.0,MATCHED,INV0298,,,,,,True
B0417,INV0417,100.0,MATCHED,INV0417,,,,,,True
B0147,INV0147,100.0,MATCHED,INV0147,,,,,,True
B0393,INV0393,100.0,MATCHED,INV0393,,,,,,True
B0148,INV0148,100.0,MATCHED,INV0148,,,,,,True
B0448,INV0448,100.0,MATCHED,INV0448,,,,,,True
B0288,INV0288,100.0,MATCHED,INV0288,,,,,,True
B0124,INV0124,100.0,MATCHED,INV0124,,,,,,True
B0369,INV0369,100.0,MATCHED,INV0369,,,,,,True
B0097,INV0097,100.0,MATCHED,INV0097,,,,,,True
B0144,INV0144,100.0,MATCHED,INV0144,,,,,,True
B0240,INV0240,100.0,MATCHED,INV0240,,,,,,True
B0443,INV0443,100.0,MATCHED,INV0443,,,,,,True
B0098,INV0098,100.0,MATCHED,INV0098,,,,,,True
B0408,INV0408,100.0,MATCHED,INV0408,,,,,,True
B0123,INV0123,100.0,MATCHED,INV0123,,,,,,True
B0184,INV0184,100.0,MATCHED,INV0184,,,,,,True
B0203,INV0203,100.0,MATCHED,INV0203,,,,,,True
B0247,INV0247,100.0,MATCHED,INV0247,,,,,,True
B0306,INV0306,100.0,MATCHED,INV0306,,,,,,True
B0299,INV0299,100.0,MATCHED,INV0299,,,,,,True
B0352,INV0352,100.0,MATCHED,INV0352,,,,,,True
B0387,INV0387,100.0,MATCHED,INV0387,,,,,,True
B0396,INV0396,100.0,MATCHED,INV0396,,,,,,True
B0285,INV0285,100.0,MATCHED,INV0285,,,,,,True
B0126,INV0126,100.0,MATCHED,INV0126,,,,,,True
B0303,INV0303,100.0,MATCHED,INV0303,,,,,,True
B0224,INV0224,100.0,MATCHED,INV0224,,,,,,True
B0419,INV0419,100.0,MATCHED,INV0419,,,,,,True
B0220,INV0220,100.0,MATCHED,INV0220,,,,,,True
B0130,INV0130,100.0,MATCHED,INV0130,,,,,,True
B0421,INV0421,100.0,MATCHED,INV0421,,,,,,True
B0290,INV0290,100.0,MATCHED,INV0290,,,,,,True
B0445,INV0445,100.0,MATCHED,INV0445,,,,,,True
B0377,INV0377,100.0,MATCHED,INV0377,,,,,,True
B0292,INV0292,100.0,MATCHED,INV0292,,,,,,True
B0356,INV0356,100.0,MATCHED,INV0356,,,,,,True
B0295,INV0295,100.0,MATCHED,INV0295,,,,,,True
B0397,INV0397,100.0,MATCHED,INV0397,,,,,,True
B0341,INV0341,100.0,MATCHED,INV0341,,,,,,True
B0113,INV0113,100.0,MATCHED,INV0113,,,,,,True
B0180,INV0180,100.0,MATCHED,INV0180,,,,,,True
B0308,INV0308,100.0,MATCHED,INV0308,,,,,,True
B0433,INV0433,100.0,MATCHED,INV0433,,,,,,True
B0488,INV0488,100.0,MATCHED,INV0488,,,,,,True
B0482,INV0482,100.0,MATCHED,INV0482,,,,,,True
B0423,INV0423,100.0,MATCHED,INV0423,,,,,,True
B0234,INV0234,100.0,MATCHED,INV0234,,,,,,True
B0312,INV0312,100.0,MATCHED,INV0312,,,,,,True
B0165,INV0165,100.0,MATCHED,INV0165,,,,,,True
B0137,INV0137,100.0,MATCHED,INV0137,,,,,,True
B0198,INV0198,100.0,MATCHED,INV0198,,,,,,True
B0259,,53.166666666666664,EXCEPTION,INV0259,REVIEW,,53.0,LOW,REVIEW,False
B0233,INV0233,100.0,MATCHED,INV0233,,,,,,True
B0116,INV0116,100.0,MATCHED,INV0116,,,,,,True
B0121,INV0121,100.0,MATCHED,INV0121,,,,,,True
B0350,INV0350_DUP,100.0,WARNING,INV0350,MATCH,INV0350_DUP,95.0,LOW,REVIEW,True
B0225,,55.78947368421053,EXCEPTION,INV0225,REVIEW,,55.0,LOW,REVIEW,False
B0403,INV0403,100.0,MATCHED,INV0403,,,,,,True
B0398,INV0398,100.0,MATCHED,INV0398,,,,,,True
B0128,INV0128,100.0,MATCHED,INV0128,,,,,,True
B0286,INV0286,100.0,MATCHED,INV0286,,,,,,True
B0412,INV0412,100.0,MATCHED,INV0412,,,,,,True
B0108,INV0108,100.0,MATCHED,INV0108,,,,,,True
B0371,INV0371,100.0,MATCHED,INV0371,,,,,,True
B0326,INV0326,100.0,MATCHED,INV0326,,,,,,True
B0134,INV0134,100.0,MATCHED,INV0134,,,,,,True
B0453,INV0453,100.0,MATCHED,INV0453,,,,,,True
B0045,INV0045,100.0,MATCHED,INV0045,,,,,,True
B0461,,47.14285714285714,EXCEPTION,INV0461,REVIEW,,0.0,LOW,REVIEW,False
B0066,INV0066,100.0,MATCHED,INV0066,,,,,,True
B0284,INV0284,100.0,MATCHED,INV0284,,,,,,True
B0086,INV0086,100.0,MATCHED,INV0086,,,,,,True
B0243,INV0243,100.0,MATCHED,INV0243,,,,,,True
B0187,,47.69230769230769,EXCEPTION,INV0187,REVIEW,,0.0,MEDIUM,REVIEW,False
B0384,INV0384,100.0,MATCHED,INV0384,,,,,,True
B0160,INV0160,100.0,MATCHED,INV0160,,,,,,True
B0013,INV0013,100.0,MATCHED,INV0013,,,,,,True
B0036,INV0036,100.0,WARNING,INV0036,REVIEW,,50.0,LOW,REVIEW,True
B0029,INV0029,100.0,MATCHED,INV0029,,,,,,True
B0171,INV0171,100.0,MATCHED,INV0171,,,,,,True
B0143,INV0143,100.0,MATCHED,INV0143,,,,,,True
B0399,INV0399,100.0,MATCHED,INV0399,,,,,,True
B0343,INV0343,100.0,MATCHED,INV0343,,,,,,True
B0222,INV0222,100.0,MATCHED,INV0222,,,,,,True
B0096,INV0096,100.0,MATCHED,INV0096,,,,,,True
B0052,INV0052_DUP,100.0,WARNING,INV0052,MATCH,INV0052_DUP,95.0,LOW,REVIEW,True
B0241,INV0241,100.0,MATCHED,INV0241,,,,,,True
B0485,INV0485,100.0,MATCHED,INV0485,,,,,,True
B0379,INV0379,100.0,MATCHED,INV0379,,,,,,True
B0179,INV0179,100.0,MATCHED,INV0179,,,,,,True
B0042,INV0042,100.0,MATCHED,INV0042,,,,,,True
B0499,INV0499,100.0,MATCHED,INV0499,,,,,,True
B0422,INV0422,100.0,MATCHED,INV0422,,,,,,True
B0207,INV0207,100.0,MATCHED,INV0207,,,,,,True
B0283,INV0283,100.0,MATCHED,INV0283,,,,,,True
B0255,INV0255,100.0,MATCHED,INV0255,,,,,,True
B0413,INV0413,100.0,MATCHED,INV0413,,,,,,True
B0005,INV0005,100.0,MATCHED,INV0005,,,,,,True
B0257,INV0257,100.0,MATCHED,INV0257,,,,,,True
B0449,INV0449,100.0,MATCHED,INV0449,,,,,,True
B0101,INV0101,100.0,MATCHED,INV0101,,,,,,True
B0227,INV0227,100.0,MATCHED,INV0227,,,,,,True
B0430,INV0430,100.0,MATCHED,INV0430,,,,,,True
B0214,INV0214,100.0,MATCHED,INV0214,,,,,,True
B0172,INV0172,100.0,MATCHED,INV0172,,,,,,True
B0099,INV0099,100.0,MATCHED,INV0099,,,,,,True
B0293,INV0293,100.0,MATCHED,INV0293,,,,,,True
B0216,INV0216,100.0,MATCHED,INV0216,,,,,,True
B0062,INV0062,100.0,MATCHED,INV0062,,,,,,True
B0048,INV0048,100.0,MATCHED,INV0048,,,,,,True
B0033,INV0033,100.0,MATCHED,INV0033,,,,,,True
B0268,,63.75,EXCEPTION,INV0268,REVIEW,,0.0,LOW,REVIEW,False
B0328,INV0328,100.0,MATCHED,INV0328,,,,,,True
B0201,INV0201,100.0,MATCHED,INV0201,,,,,,True
B0447,INV0447,100.0,MATCHED,INV0447,,,,,,True
B0028,INV0028_DUP,100.0,WARNING,INV0028,MATCH,INV0028_DUP,95.0,LOW,MATCHED,True
B0425,INV0425,100.0,MATCHED,INV0425,,,,,,True
B0231,,66.25,EXCEPTION,INV0231,REVIEW,,56.67,LOW,REVIEW,False
B0261,INV0261,100.0,MATCHED,INV0261,,,,,,True
B0289,INV0289,100.0,MATCHED,INV0289,,,,,,True
B0163,INV0163,100.0,MATCHED,INV0163,,,,,,True
B0426,INV0426,100.0,WARNING,INV0426,MATCH,INV0426,95.0,LOW,REVIEW,True
B0139,INV0139,100.0,MATCHED,INV0139,,,,,,True
B0063,INV0063,100.0,MATCHED,INV0063,,,,,,True
B0136,INV0136,100.0,MATCHED,INV0136,,,,,,True
B0129,INV0129,100.0,MATCHED,INV0129,,,,,,True
B0477,INV0477,100.0,MATCHED,INV0477,,,,,,True
B0009,INV0009,100.0,MATCHED,INV0009,,,,,,True
B0327,INV0327,100.0,MATCHED,INV0327,,,,,,True
B0464,INV0464,100.0,MATCHED,INV0464,,,,,,True
B0065,INV0065,100.0,MATCHED,INV0065,,,,,,True
B0301,INV0301,100.0,MATCHED,INV0301,,,,,,True
B0015,INV0015,100.0,MATCHED,INV0015,,,,,,True
B0157,INV0157,100.0,MATCHED,INV0157,,,,,,True
B0041,INV0041,100.0,MATCHED,INV0041,,,,,,True
B0380,INV0380,100.0,MATCHED,INV0380,,,,,,True
B0469,INV0469,100.0,MATCHED,INV0469,,,,,,True
B0404,INV0404,100.0,MATCHED,INV0404,,,,,,True
B0217,INV0217,100.0,MATCHED,INV0217,,,,,,True
B0280,INV0280,100.0,MATCHED,INV0280,,,,,,True
B0435,INV0435,100.0,MATCHED,INV0435,,,,,,True
B0431,INV0431,100.0,MATCHED,INV0431,,,,,,True
B0338,INV0338,100.0,MATCHED,INV0338,,,,,,True
B0237,INV0237,100.0,MATCHED,INV0237,,,,,,True
B0208,INV0208,100.0,MATCHED,INV0208,,,,,,True
B0213,INV0213,100.0,MATCHED,INV0213,,,,,,True
B0296,INV0296,100.0,MATCHED,INV0296,,,,,,True
B0458,INV0458,100.0,MATCHED,INV0458,,,,,,True
B0252,INV0252,100.0,MATCHED,INV0252,,,,,,True
B0489,INV0489,100.0,MATCHED,INV0489,,,,,,True
B0487,INV0487,100.0,MATCHED,INV0487,,,,,,True
B0304,INV0304,100.0,MATCHED,INV0304,,,,,,True
B0351,INV0351,100.0,MATCHED,INV0351,,,,,,True
B0270,INV0270,100.0,MATCHED,INV0270,,,,,,True
B0202,INV0202,100.0,MATCHED,INV0202,,,,,,True
B0162,INV0162,100.0,MATCHED,INV0162,,,,,,True
B0044,INV0443,70.0,WARNING,INV0044,REVIEW,,50.0,MEDIUM,REVIEW,False
B0218,INV0218,100.0,MATCHED,INV0218,,,,,,True
B0402,INV0402,100.0,MATCHED,INV0402,,,,,,True
B0191,INV0041,70.0,WARNING,INV0191,REVIEW,,0.0,LOW,REVIEW,False
B0310,INV0310,100.0,MATCHED,INV0310,,,,,,True
B0260,INV0260,100.0,MATCHED,INV0260,,,,,,True
B0106,INV0106,100.0,MATCHED,INV0106,,,,,,True
B0054,INV0054,100.0,MATCHED,INV0054,,,,,,True
B0390,INV0390,100.0,MATCHED,INV0390,,,,,,True
B0002,INV0002,100.0,MATCHED,INV0002,,,,,,True
B0442,INV0442,100.0,MATCHED,INV0442,,,,,,True
B0483,INV0483,100.0,MATCHED,INV0483,,,,,,True
B0050,INV0050,100.0,MATCHED,INV0050,,,,,,True
B0420,INV0420,100.0,MATCHED,INV0420,,,,,,True
