transaction_id,date,amount,description,counterparty
B0174,2026-02-02,100000.0,SWIGGY,SWIGGY
B0003,2026-06-23,2500.0,FLIPKART,FLIPKART
B0334,2026-04-16,12500.0,FLIPKART,FLIPKART
B0410,2026-08-02,50000.0,ZOHO,ZOHO
B0071,2026-01-17,8900.0,GOOGLE CLOUD,GOOGLE CLOUD
B0210,2026-03-26,22000.0,AMAZON,AMAZON
B0064,2026-02-12,100000.0,UBER,UBER
B0385,2026-06-11,8900.0,META ADS,META ADS
B0094,2026-02-24,50000.0,UBER,UBER
B0486,2026-04-06,9500.0,RAZORPAY,RAZORPAY
B0186,2026-01-07,5000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0034,2026-02-24,12500.0,ZOHO,ZOHO
B0078,2026-05-19,7200.0,UBER,UBER
B0001,2026-07-09,500.0,META ADS,META ADS
B0012,2026-02-25,5000.0,SWIGGY,SWIGGY
B0416,2026-05-29,750.0,UBER,UBER
B0023,2026-06-12,35000.0,SWIGGY,SWIGGY
B0073,2026-05-31,8900.0,NETFLIX,NETFLIX
B0183,2026-03-14,1200.0,FLIPKART,FLIPKART
B0132,2026-01-24,750.0,SWIGGY,SWIGGY
B0411,2026-06-05,8900.0,SWIGGY,SWIGGY
B0194,2026-01-13,35000.0,NETFLIX,NETFLIX
B0056,2026-05-19,6500.0,RAZORPAY,RAZORPAY
B0149,2026-07-25,22000.0,RAZORPAY,RAZORPAY
B0019,2026-05-28,15000.0,ZOHO,ZOHO
B0205,2026-03-02,11000.0,META ADS,META ADS
B0079,2026-03-04,50000.0,FLIPKART,FLIPKART
B0495,2026-01-27,15000.0,SWIGGY,SWIGGY
B0263,2026-07-24,15000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0324,2026-06-04,12500.0,AMAZON,AMAZON
B0484,2026-04-17,18000.0,UBER,UBER
B0080,2026-02-18,22000.0,UBER,UBER
B0040,2026-04-03,18000.0,ZOHO,ZOHO
B0452,2026-06-19,1200.0,UBER,UBER
B0047,2026-08-09,100000.0,SWIGGY,SWIGGY
B0239,2026-02-12,15000.0,SWIGGY,SWIGGY
B0392,2026-05-16,8900.0,FLIPKART,FLIPKART
B0353,2026-05-08,5000.0,META ADS,META ADS
B0342,2026-06-09,15000.0,NETFLIX,NETFLIX
B0278,2026-03-01,9500.0,SWIGGY,SWIGGY
B0291,2026-05-01,11000.0,AWS INDIA,AWS INDIA
B0318,2026-04-23,11000.0,ZOHO,ZOHO
B0305,2026-06-19,9500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0269,2026-06-15,50000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0070,2026-01-31,35000.0,NETFLIX,NETFLIX
B0456,2026-05-31,7200.0,NETFLIX,NETFLIX
B0466,2026-04-25,50000.0,META ADS,META ADS
B0155,2026-04-13,7200.0,AWS INDIA,AWS INDIA
B0083,2026-08-10,35000.0,AMAZON,AMAZON
B0478,2026-06-02,18000.0,RAZORPAY,RAZORPAY
B0173,2026-04-14,12500.0,AMAZON,AMAZON
B0322,2026-01-21,35000.0,UBER,UBER
B0091,2026-01-13,2500.0,NETFLIX,NETFLIX
B0181,2026-06-22,35000.0,UBER,UBER
B0415,2026-07-21,11000.0,AWS INDIA,AWS INDIA
B0313,2026-04-19,7200.0,ZOHO,ZOHO
B0279,2026-03-22,7200.0,META ADS,META ADS
B0382,2026-04-08,100000.0,RAZORPAY,RAZORPAY
B0473,2026-07-02,50000.0,META ADS,META ADS
B0363,2026-07-05,11000.0,AWS INDIA,AWS INDIA
B0325,2026-01-24,500.0,SWIGGY,SWIGGY
B0432,2026-01-07,50000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0348,2026-07-01,8900.0,ZOHO,ZOHO
B0087,2026-04-25,100000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0076,2026-01-19,12500.0,AWS INDIA,AWS INDIA
B0439,2026-03-02,2500.0,META ADS,META ADS
B0016,2026-05-18,35000.0,AWS INDIA,AWS INDIA
B0250,2026-08-06,500.0,RAZORPAY,RAZORPAY
B0434,2026-06-15,8900.0,ZOHO,ZOHO
B0020,2026-01-12,1200.0,GOOGLE CLOUD,GOOGLE CLOUD
B0323,2026-08-16,750.0,ZOHO,ZOHO
B0333,2026-08-08,2500.0,RAZORPAY,RAZORPAY
B0057,2026-06-03,500.0,NETFLIX,NETFLIX
B0302,2026-03-20,22000.0,ZOHO,ZOHO
B0230,2026-08-02,9500.0,AMAZON,AMAZON
B0332,2026-03-27,22000.0,RAZORPAY,RAZORPAY
B0133,2026-01-12,9500.0,AMAZON,AMAZON
B0138,2026-08-30,1200.0,META ADS,META ADS
B0424,2026-04-30,2500.0,RAZORPAY,RAZORPAY
B0336,2026-01-10,100000.0,AMAZON,AMAZON
B0026,2026-06-05,1200.0,SWIGGY,SWIGGY
B0465,2026-01-30,75000.0,AMAZON,AMAZON
B0282,2026-07-05,9500.0,UBER,UBER
B0248,2026-06-19,22000.0,NETFLIX,NETFLIX
B0238,2026-06-29,35000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0118,2026-05-10,7200.0,NETFLIX,NETFLIX
B0043,2026-02-09,2500.0,AWS INDIA,AWS INDIA
B0221,2026-07-05,18000.0,RAZORPAY,RAZORPAY
B0177,2026-04-14,11000.0,ZOHO,ZOHO
B0321,2026-05-19,75000.0,SWIGGY,SWIGGY
B0154,2026-02-27,8900.0,SWIGGY,SWIGGY
B0232,2026-03-31,750.0,NETFLIX,NETFLIX
B0228,2026-03-25,35000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0418,2026-07-11,12500.0,SWIGGY,SWIGGY
B0204,2026-04-23,9500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0127,2026-07-10,2500.0,META ADS,META ADS
B0330,2026-06-12,22000.0,ZOHO,ZOHO
B0032,2026-04-13,12500.0,AWS INDIA,AWS INDIA
B0114,2026-06-21,5000.0,AMAZON,AMAZON
B0471,2026-05-03,750.0,AWS INDIA,AWS INDIA
B0272,2026-06-27,18000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0141,2026-01-11,5000.0,AMAZON,AMAZON
B0058,2026-01-05,50000.0,RAZORPAY,RAZORPAY
B0193,2026-02-15,8900.0,AMAZON,AMAZON
B0025,2026-06-21,7200.0,RAZORPAY,RAZORPAY
B0018,2026-08-01,11000.0,NETFLIX,NETFLIX
B0266,2026-08-31,75000.0,AWS INDIA,AWS INDIA
B0067,2026-07-02,7200.0,NETFLIX,NETFLIX
B0209,2026-01-17,7200.0,FLIPKART,FLIPKART
B0480,2026-01-26,22000.0,NETFLIX,NETFLIX
B0095,2026-02-12,750.0,AMAZON,AMAZON
B0254,2026-06-16,75000.0,FLIPKART,FLIPKART
B0267,2026-03-03,1200.0,GOOGLE CLOUD,GOOGLE CLOUD
B0024,2026-04-05,6500.0,RAZORPAY,RAZORPAY
B0223,2026-01-07,100000.0,FLIPKART,FLIPKART
B0262,2026-05-05,6500.0,RAZORPAY,RAZORPAY
B0427,2026-01-24,15000.0,NETFLIX,NETFLIX
B0006,2026-03-01,7200.0,META ADS,META ADS
B0117,2026-01-19,2500.0,ZOHO,ZOHO
B0046,2026-05-16,35000.0,ZOHO,ZOHO
B0017,2026-01-21,18000.0,META ADS,META ADS
B0463,2026-02-14,500.0,RAZORPAY,RAZORPAY
B0358,2026-08-24,7200.0,AMAZON,AMAZON
B0004,2026-06-01,1200.0,NETFLIX,NETFLIX
B0219,2026-04-22,9500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0406,2026-05-28,15000.0,AMAZON,AMAZON
B0061,2026-01-22,1200.0,GOOGLE CLOUD,GOOGLE CLOUD
B0111,2026-03-22,75000.0,ZOHO,ZOHO
B0319,2026-06-26,35000.0,META ADS,META ADS
B0429,2026-04-27,2500.0,NETFLIX,NETFLIX
B0030,2026-06-25,8900.0,NETFLIX,NETFLIX
B0438,2026-05-07,11000.0,AWS INDIA,AWS INDIA
B0472,2026-06-25,22000.0,AMAZON,AMAZON
B0027,2026-07-06,100000.0,FLIPKART,FLIPKART
B0008,2026-04-18,100000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0454,2026-02-02,8900.0,RAZORPAY,RAZORPAY
B0109,2026-06-08,750.0,ZOHO,ZOHO
B0038,2026-03-09,100000.0,NETFLIX,NETFLIX
B0158,2026-06-23,18000.0,NETFLIX,NETFLIX
B0490,2026-05-23,5000.0,RAZORPAY,RAZORPAY
B0119,2026-08-27,5000.0,SWIGGY,SWIGGY
B0115,2026-03-22,35000.0,SWIGGY,SWIGGY
B0176,2026-06-07,6500.0,AMAZON,AMAZON
B0374,2026-06-01,75000.0,FLIPKART,FLIPKART
B0182,2026-05-02,75000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0145,2026-06-08,22000.0,NETFLIX,NETFLIX
B0370,2026-08-08,8900.0,AMAZON,AMAZON
B0391,2026-04-21,15000.0,RAZORPAY,RAZORPAY
B0196,2026-02-04,35000.0,META ADS,META ADS
B0405,2026-03-02,2500.0,UBER,UBER
B0276,2026-03-26,100000.0,AMAZON,AMAZON
B0455,2026-01-18,7200.0,ZOHO,ZOHO
B0142,2026-08-19,15000.0,SWIGGY,SWIGGY
B0366,2026-03-27,15000.0,UBER,UBER
B0068,2026-06-21,18000.0,SWIGGY,SWIGGY
B0211,2026-04-17,35000.0,NETFLIX,NETFLIX
B0169,2026-04-21,15000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0494,2026-06-03,11000.0,AWS INDIA,AWS INDIA
B0376,2026-05-15,2500.0,UBER,UBER
B0401,2026-05-31,15000.0,UBER,UBER
B0273,2026-06-19,11000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0110,2026-06-18,22000.0,META ADS,META ADS
B0249,2026-05-10,1200.0,RAZORPAY,RAZORPAY
B0146,2026-08-10,8900.0,FLIPKART,FLIPKART
B0093,2026-04-15,6500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0153,2026-03-31,35000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0368,2026-08-11,12500.0,UBER,UBER
B0468,2026-05-09,35000.0,META ADS,META ADS
B0084,2026-01-16,2500.0,AWS INDIA,AWS INDIA
B0246,2026-07-23,2500.0,SWIGGY,SWIGGY
B0166,2026-03-07,7200.0,ZOHO,ZOHO
B0164,2026-06-05,22000.0,RAZORPAY,RAZORPAY
B0200,2026-08-18,35000.0,NETFLIX,NETFLIX
B0229,2026-03-13,18000.0,RAZORPAY,RAZORPAY
B0075,2026-01-18,8900.0,AWS INDIA,AWS INDIA
B0479,2026-04-27,11000.0,NETFLIX,NETFLIX
B0359,2026-07-11,75000.0,ZOHO,ZOHO
B0251,2026-01-28,50000.0,AMAZON,AMAZON
B0120,2026-08-14,1200.0,RAZORPAY,RAZORPAY
B0311,2026-01-19,35000.0,SWIGGY,SWIGGY
B0300,2026-04-26,18000.0,NETFLIX,NETFLIX
B0256,2026-04-22,35000.0,UBER,UBER
B0355,2026-08-02,22000.0,SWIGGY,SWIGGY
B0400,2026-01-19,6500.0,NETFLIX,NETFLIX
B0226,2026-01-13,6500.0,UBER,UBER
B0354,2026-06-30,75000.0,SWIGGY,SWIGGY
B0235,2026-06-09,500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0383,2026-08-12,50000.0,RAZORPAY,RAZORPAY
B0275,2026-03-30,75000.0,NETFLIX,NETFLIX
B0037,2026-07-10,8900.0,FLIPKART,FLIPKART
B0197,2026-05-24,75000.0,UBER,UBER
B0140,2026-02-07,100000.0,RAZORPAY,RAZORPAY
B0365,2026-05-18,35000.0,FLIPKART,FLIPKART
B0245,2026-06-28,2500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0440,2026-04-10,5000.0,NETFLIX,NETFLIX
B0287,2026-02-02,100000.0,AWS INDIA,AWS INDIA
B0060,2026-01-15,8900.0,SWIGGY,SWIGGY
B0112,2026-06-21,7200.0,SWIGGY,SWIGGY
B0090,2026-07-26,35000.0,META ADS,META ADS
B0437,2026-08-31,750.0,FLIPKART,FLIPKART
B0007,2026-05-24,500.0,NETFLIX,NETFLIX
B0361,2026-08-28,12500.0,AMAZON,AMAZON
B0347,2026-01-08,2500.0,UBER,UBER
B0339,2026-07-31,75000.0,AMAZON,AMAZON
B0159,2026-08-29,12500.0,NETFLIX,NETFLIX
B0151,2026-08-12,18000.0,META ADS,META ADS
B0178,2026-03-19,500.0,NETFLIX,NETFLIX
B0394,2026-06-06,1200.0,FLIPKART,FLIPKART
B0185,2026-02-27,11000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0450,2026-04-12,750.0,RAZORPAY,RAZORPAY
B0011,2026-03-29,22000.0,FLIPKART,FLIPKART
B0381,2026-08-07,1200.0,AMAZON,AMAZON
B0104,2026-01-15,6500.0,NETFLIX,NETFLIX
B0082,2026-04-19,15000.0,AMAZON,AMAZON
B0039,2026-08-18,22000.0,ZOHO,ZOHO
B0315,2026-07-31,9500.0,FLIPKART,FLIPKART
B0168,2026-06-25,100000.0,NETFLIX,NETFLIX
B0470,2026-04-28,11000.0,NETFLIX,NETFLIX
B0297,2026-01-22,11000.0,FLIPKART,FLIPKART
B0475,2026-06-05,12500.0,META ADS,META ADS
B0199,2026-04-20,75000.0,UBER,UBER
B0298,2026-05-23,2500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0417,2026-01-24,5000.0,RAZORPAY,RAZORPAY
B0147,2026-08-14,6500.0,FLIPKART,FLIPKART
B0393,2026-02-13,6500.0,AMAZON,AMAZON
B0148,2026-02-15,500.0,AMAZON,AMAZON
B0448,2026-06-25,2500.0,RAZORPAY,RAZORPAY
B0288,2026-01-14,750.0,SWIGGY,SWIGGY
B0124,2026-06-20,500.0,NETFLIX,NETFLIX
B0369,2026-05-27,8900.0,GOOGLE CLOUD,GOOGLE CLOUD
B0097,2026-03-15,35000.0,SWIGGY,SWIGGY
B0144,2026-04-01,2500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0240,2026-07-19,2500.0,ZOHO,ZOHO
B0443,2026-06-17,22000.0,FLIPKART,FLIPKART
B0098,2026-06-19,100000.0,AMAZON,AMAZON
B0408,2026-01-03,9500.0,AMAZON,AMAZON
B0123,2026-06-06,11000.0,NETFLIX,NETFLIX
B0184,2026-01-24,12500.0,NETFLIX,NETFLIX
B0203,2026-05-05,75000.0,SWIGGY,SWIGGY
B0247,2026-03-30,750.0,ZOHO,ZOHO
B0306,2026-03-03,6500.0,META ADS,META ADS
B0299,2026-07-18,8900.0,AMAZON,AMAZON
B0352,2026-08-31,35000.0,META ADS,META ADS
B0387,2026-01-26,22000.0,META ADS,META ADS
B0396,2026-03-01,5000.0,ZOHO,ZOHO
B0285,2026-02-28,11000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0126,2026-03-09,5000.0,META ADS,META ADS
B0303,2026-06-06,750.0,ZOHO,ZOHO
B0224,2026-01-22,500.0,AMAZON,AMAZON
B0419,2026-02-21,6500.0,AMAZON,AMAZON
B0220,2026-04-10,500.0,UBER,UBER
B0130,2026-06-25,7200.0,RAZORPAY,RAZORPAY
B0421,2026-05-09,75000.0,RAZORPAY,RAZORPAY
B0290,2026-01-27,50000.0,FLIPKART,FLIPKART
B0445,2026-01-09,9500.0,AMAZON,AMAZON
B0377,2026-07-04,500.0,UBER,UBER
B0292,2026-03-29,35000.0,UBER,UBER
B0356,2026-03-04,50000.0,UBER,UBER
B0295,2026-05-06,18000.0,META ADS,META ADS
B0397,2026-04-28,9500.0,UBER,UBER
B0341,2026-02-18,750.0,AMAZON,AMAZON
B0113,2026-03-09,8900.0,RAZORPAY,RAZORPAY
B0180,2026-04-30,12500.0,ZOHO,ZOHO
B0308,2026-04-15,500.0,FLIPKART,FLIPKART
B0433,2026-03-25,100000.0,ZOHO,ZOHO
B0488,2026-01-24,1200.0,META ADS,META ADS
B0482,2026-04-26,22000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0423,2026-07-11,11000.0,UBER,UBER
B0234,2026-03-05,500.0,AWS INDIA,AWS INDIA
B0312,2026-07-21,9500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0165,2026-04-09,2500.0,NETFLIX,NETFLIX
B0137,2026-01-03,100000.0,AMAZON,AMAZON
B0198,2026-07-13,12500.0,ZOHO,ZOHO
B0259,2026-07-12,8900.0,UBER,UBER
B0233,2026-07-19,1200.0,GOOGLE CLOUD,GOOGLE CLOUD
B0116,2026-04-28,500.0,META ADS,META ADS
B0121,2026-03-14,15000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0350,2026-04-15,100000.0,AWS INDIA,AWS INDIA
B0225,2026-08-10,5000.0,AMAZON,AMAZON
B0403,2026-08-05,35000.0,SWIGGY,SWIGGY
B0398,2026-08-19,500.0,SWIGGY,SWIGGY
B0128,2026-03-11,5000.0,NETFLIX,NETFLIX
B0286,2026-03-19,6500.0,RAZORPAY,RAZORPAY
B0412,2026-06-12,8900.0,RAZORPAY,RAZORPAY
B0108,2026-05-29,8900.0,META ADS,META ADS
B0371,2026-03-23,750.0,AMAZON,AMAZON
B0326,2026-07-15,500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0134,2026-07-17,12500.0,AWS INDIA,AWS INDIA
B0453,2026-01-13,500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0045,2026-04-08,18000.0,META ADS,META ADS
B0461,2026-01-04,5000.0,AWS INDIA,AWS INDIA
B0066,2026-02-24,22000.0,ZOHO,ZOHO
B0284,2026-08-02,2500.0,SWIGGY,SWIGGY
B0086,2026-02-19,8900.0,META ADS,META ADS
B0243,2026-04-12,18000.0,SWIGGY,SWIGGY
B0187,2026-05-02,8900.0,AWS INDIA,AWS INDIA
B0384,2026-06-08,750.0,NETFLIX,NETFLIX
B0160,2026-08-13,2500.0,AWS INDIA,AWS INDIA
B0013,2026-01-24,2500.0,RAZORPAY,RAZORPAY
B0036,2026-03-09,5000.0,UBER,UBER
B0029,2026-08-25,9500.0,AMAZON,AMAZON
B0171,2026-07-04,2500.0,RAZORPAY,RAZORPAY
B0143,2026-02-23,15000.0,AWS INDIA,AWS INDIA
B0399,2026-06-23,11000.0,UBER,UBER
B0343,2026-07-14,35000.0,UBER,UBER
B0222,2026-08-24,35000.0,FLIPKART,FLIPKART
B0096,2026-04-10,500.0,AMAZON,AMAZON
B0052,2026-05-09,9500.0,AWS INDIA,AWS INDIA
B0241,2026-01-28,11000.0,FLIPKART,FLIPKART
B0485,2026-04-20,12500.0,META ADS,META ADS
B0379,2026-05-01,1200.0,FLIPKART,FLIPKART
B0179,2026-04-21,7200.0,SWIGGY,SWIGGY
B0042,2026-07-13,1200.0,UBER,UBER
B0499,2026-01-30,15000.0,NETFLIX,NETFLIX
B0422,2026-03-07,6500.0,SWIGGY,SWIGGY
B0207,2026-02-05,1200.0,NETFLIX,NETFLIX
B0283,2026-06-02,75000.0,ZOHO,ZOHO
B0255,2026-07-18,100000.0,SWIGGY,SWIGGY
B0413,2026-06-23,9500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0005,2026-01-08,750.0,AMAZON,AMAZON
B0257,2026-03-24,9500.0,ZOHO,ZOHO
B0449,2026-08-19,100000.0,RAZORPAY,RAZORPAY
B0101,2026-01-16,100000.0,ZOHO,ZOHO
B0227,2026-03-25,18000.0,SWIGGY,SWIGGY
B0430,2026-05-30,9500.0,RAZORPAY,RAZORPAY
B0214,2026-08-08,500.0,ZOHO,ZOHO
B0172,2026-03-21,75000.0,SWIGGY,SWIGGY
B0099,2026-02-18,5000.0,UBER,UBER
B0293,2026-03-06,750.0,FLIPKART,FLIPKART
B0216,2026-03-18,15000.0,AWS INDIA,AWS INDIA
B0062,2026-07-14,1200.0,UBER,UBER
B0048,2026-06-24,2500.0,AWS INDIA,AWS INDIA
B0033,2026-02-24,1200.0,SWIGGY,SWIGGY
B0268,2026-05-23,50000.0,AMAZON,AMAZON
B0328,2026-05-13,50000.0,FLIPKART,FLIPKART
B0201,2026-04-26,50000.0,FLIPKART,FLIPKART
B0447,2026-08-07,8900.0,UBER,UBER
B0028,2026-04-29,6500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0425,2026-07-13,5000.0,META ADS,META ADS
B0231,2026-01-05,50000.0,META ADS,META ADS
B0261,2026-08-06,50000.0,AWS INDIA,AWS INDIA
B0289,2026-06-28,11000.0,NETFLIX,NETFLIX
B0163,2026-03-30,22000.0,ZOHO,ZOHO
B0426,2026-08-05,18000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0139,2026-01-10,100000.0,FLIPKART,FLIPKART
B0063,2026-02-02,5000.0,NETFLIX,NETFLIX
B0136,2026-06-30,100000.0,UBER,UBER
B0129,2026-07-03,7200.0,SWIGGY,SWIGGY
B0477,2026-07-02,100000.0,SWIGGY,SWIGGY
B0009,2026-05-31,35000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0327,2026-07-15,750.0,SWIGGY,SWIGGY
B0464,2026-02-02,750.0,SWIGGY,SWIGGY
B0065,2026-08-12,75000.0,SWIGGY,SWIGGY
B0301,2026-08-09,11000.0,UBER,UBER
B0015,2026-07-26,9500.0,RAZORPAY,RAZORPAY
B0157,2026-03-31,9500.0,META ADS,META ADS
B0041,2026-05-11,5000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0380,2026-06-09,12500.0,SWIGGY,SWIGGY
B0469,2026-07-06,750.0,GOOGLE CLOUD,GOOGLE CLOUD
B0404,2026-04-09,7200.0,SWIGGY,SWIGGY
B0217,2026-05-18,22000.0,AMAZON,AMAZON
B0280,2026-07-15,100000.0,META ADS,META ADS
B0435,2026-08-21,35000.0,META ADS,META ADS
B0431,2026-01-28,15000.0,AMAZON,AMAZON
B0338,2026-01-30,12500.0,SWIGGY,SWIGGY
B0237,2026-05-25,2500.0,UBER,UBER
B0208,2026-04-09,8900.0,FLIPKART,FLIPKART
B0213,2026-08-20,18000.0,AMAZON,AMAZON
B0296,2026-02-08,750.0,META ADS,META ADS
B0458,2026-03-12,500.0,FLIPKART,FLIPKART
B0252,2026-06-12,15000.0,AMAZON,AMAZON
B0489,2026-07-10,2500.0,AMAZON,AMAZON
B0487,2026-01-18,50000.0,FLIPKART,FLIPKART
B0304,2026-06-10,7200.0,META ADS,META ADS
B0351,2026-08-04,8900.0,META ADS,META ADS
B0270,2026-07-22,35000.0,UBER,UBER
B0202,2026-08-04,8900.0,SWIGGY,SWIGGY
B0162,2026-01-28,750.0,SWIGGY,SWIGGY
B0044,2026-06-02,22000.0,FLIPKART,FLIPKART
B0218,2026-05-05,8900.0,NETFLIX,NETFLIX
B0402,2026-06-26,22000.0,SWIGGY,SWIGGY
B0191,2026-06-17,5000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0310,2026-03-15,8900.0,AWS INDIA,AWS INDIA
B0260,2026-03-28,18000.0,UBER,UBER
B0106,2026-06-02,1200.0,FLIPKART,FLIPKART
B0054,2026-08-04,11000.0,META ADS,META ADS
B0390,2026-03-17,750.0,RAZORPAY,RAZORPAY
B0002,2026-02-27,8900.0,SWIGGY,SWIGGY
B0442,2026-05-31,22000.0,NETFLIX,NETFLIX
B0483,2026-03-28,22000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0050,2026-03-17,2500.0,RAZORPAY,RAZORPAY
B0420,2026-08-13,100000.0,FLIPKART,FLIPKART
B0081,2026-06-18,2500.0,META ADS,META ADS
B0206,2026-03-23,12500.0,SWIGGY,SWIGGY
B0035,2026-08-15,18000.0,UBER,UBER
B0264,2026-03-13,12500.0,SWIGGY,SWIGGY
B0428,2026-03-09,500.0,AMAZON,AMAZON
B0367,2026-04-07,100000.0,NETFLIX,NETFLIX
B0092,2026-01-24,500.0,NETFLIX,NETFLIX
B0340,2026-04-29,100000.0,AWS INDIA,AWS INDIA
B0474,2026-08-19,1200.0,UBER,UBER
B0053,2026-08-22,75000.0,FLIPKART,FLIPKART
B0346,2026-08-14,35000.0,SWIGGY,SWIGGY
B0265,2026-05-23,9500.0,ZOHO,ZOHO
B0242,2026-08-26,500.0,ZOHO,ZOHO
B0014,2026-04-02,2500.0,AMAZON,AMAZON
B0316,2026-01-16,1200.0,FLIPKART,FLIPKART
B0089,2026-03-05,35000.0,SWIGGY,SWIGGY
B0388,2026-02-12,35000.0,META ADS,META ADS
B0274,2026-05-02,15000.0,ZOHO,ZOHO
B0167,2026-01-01,22000.0,AWS INDIA,AWS INDIA
B0329,2026-02-16,9500.0,UBER,UBER
B0493,2026-08-11,22000.0,RAZORPAY,RAZORPAY
B0135,2026-02-11,9500.0,FLIPKART,FLIPKART
B0307,2026-01-20,100000.0,FLIPKART,FLIPKART
B0481,2026-07-04,100000.0,META ADS,META ADS
B0320,2026-08-30,18000.0,SWIGGY,SWIGGY
B0244,2026-06-01,1200.0,GOOGLE CLOUD,GOOGLE CLOUD
B0055,2026-02-09,7200.0,NETFLIX,NETFLIX
B0364,2026-08-10,50000.0,SWIGGY,SWIGGY
B0051,2026-04-27,6500.0,AMAZON,AMAZON
B0457,2026-03-26,8900.0,GOOGLE CLOUD,GOOGLE CLOUD
B0175,2026-06-20,22000.0,GOOGLE CLOUD,GOOGLE CLOUD
B0446,2026-04-24,7200.0,RAZORPAY,RAZORPAY
B0190,2026-04-13,50000.0,AMAZON,AMAZON
B0497,2026-02-27,50000.0,FLIPKART,FLIPKART
B0188,2026-04-27,1200.0,ZOHO,ZOHO
B0170,2026-06-09,12500.0,META ADS,META ADS
B0059,2026-08-13,15000.0,META ADS,META ADS
B0049,2026-07-16,9500.0,NETFLIX,NETFLIX
B0345,2026-08-26,5000.0,NETFLIX,NETFLIX
B0236,2026-02-02,8900.0,FLIPKART,FLIPKART
B0253,2026-04-22,5000.0,UBER,UBER
B0022,2026-04-08,2500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0314,2026-02-27,100000.0,META ADS,META ADS
