invoice_id,date,amount,vendor,reference
INV0077,2026-03-13,8900.0,Netflix Entertainment Services,B0077
INV0487,2026-01-18,50000.0,Flipkart Internet Pvt Ltd,B0487
INV0100,2026-01-15,7200.0,Swiggy Pvt Ltd,B0100
INV0348,2026-07-01,8900.0,Zoho Corporation Pvt Ltd,B0348
INV0157,2026-03-31,9500.0,Meta Platforms India,B0157
INV0181_DUP,2026-06-22,40000.0,Uber India Systems Pvt Ltd,B0181
INV0449,2026-08-19,100000.0,Razorpay Software Pvt Ltd,B0449
INV0068,2026-06-21,18000.0,Swiggy Pvt Ltd,B0068
INV0329,2026-02-16,9500.0,Uber India Systems Pvt Ltd,B0329
INV0357,2026-02-07,100000.0,Uber India Systems Pvt Ltd,B0357
INV0289,2026-06-28,11000.0,Netflix Entertainment Services,B0289
INV0097,2026-03-15,35000.0,Swiggy Pvt Ltd,B0097
INV0279,2026-03-22,7200.0,Meta Platforms India,B0279
INV0419,2026-02-21,6500.0,Amazon Seller Services,B0419
INV0493,2026-08-11,22000.0,Razorpay Software Pvt Ltd,B0493
INV0443,2026-06-17,22000.0,Flipkart Internet Pvt Ltd,B0443
INV0111,2026-03-23,75000.0,Zoho Corporation Pvt Ltd,B0111
INV0354,2026-06-30,75050.0,Swiggy Pvt Ltd,B0354
INV0495,2026-01-27,15100.0,Swiggy Pvt Ltd,B0495
INV0210_DUP,2026-03-26,22000.0,Amazon Seller Services,B0210
INV0085,2026-07-24,12500.0,Amazon Seller Services,B0085
INV0316,2026-01-16,1200.0,Flipkart Internet Pvt Ltd,B0316
INV0335,2026-06-19,11000.0,Uber India Systems Pvt Ltd,B0335
INV0088,2026-02-16,22050.0,Flipkart Internet Pvt Ltd,B0088
INV0139,2026-01-10,100000.0,Flipkart Internet Pvt Ltd,B0139
INV0328,2026-05-13,50050.0,Flipkart Internet Pvt Ltd,B0328
INV0307,2026-01-20,100000.0,Flipkart Internet Pvt Ltd,B0307
INV0411,2026-06-05,9000.0,Swiggy Pvt Ltd,B0411
INV0324_DUP,2026-06-04,17500.0,Amazon Seller Services,B0324
INV0124,2026-06-20,500.0,Netflix Entertainment Services,B0124
INV0359,2026-07-11,75000.0,Zoho Corporation Pvt Ltd,B0359
INV0093,2026-04-17,6500.0,Google Cloud India,B0093
INV0080,2026-02-18,22000.0,Uber India Systems Pvt Ltd,B0080
INV0452,2026-06-19,1200.0,Uber India Systems Pvt Ltd,B0452
INV0016,2026-05-20,35000.0,Amazon Web Services India Pvt Ltd,B0016
INV0221,2026-07-05,18000.0,Razorpay Software Pvt Ltd,B0221
INV0399,2026-06-23,11000.0,Uber India Systems Pvt Ltd,B0399
INV0020,2026-01-12,2200.0,Google Cloud India,B0020
INV0336,2026-01-10,100000.0,Amazon Seller Services,B0336
INV0397,2026-04-28,9500.0,Uber India Systems Pvt Ltd,B0397
INV0061,2026-01-22,1200.0,Google Cloud India,B0061
INV0292,2026-03-29,35000.0,Uber India Systems Pvt Ltd,B0292
INV0420,2026-08-14,100000.0,Flipkart Internet Pvt Ltd,B0420
INV0344,2026-03-10,7200.0,Amazon Web Services India Pvt Ltd,B0344
INV0149,2026-07-25,22100.0,Razorpay Software Pvt Ltd,B0149
INV0456,2026-05-31,7200.0,Netflix Entertainment Services,B0456
INV0439,2026-03-02,2500.0,Meta Platforms India,B0439
INV0052_DUP,2026-05-09,9500.0,Amazon Web Services India Pvt Ltd,B0052
INV0027,2026-07-06,100000.0,Flipkart Internet Pvt Ltd,B0027
INV0485,2026-04-20,12500.0,Meta Platforms India,B0485
INV0146,2026-08-10,8900.0,Flipkart Internet Pvt Ltd,B0146
INV0480,2026-01-26,22000.0,Netflix Entertainment Services,B0480
INV0370,2026-08-09,8900.0,Amazon Seller Services,B0370
INV0046,2026-05-16,35500.0,Zoho Corporation Pvt Ltd,B0046
INV0220,2026-04-12,700.0,Uber India Systems Pvt Ltd,B0220
INV0251,2026-01-28,50000.0,Amazon Seller Services,B0251
INV0291,2026-05-01,11000.0,Amazon Web Services India Pvt Ltd,B0291
INV0264,2026-03-13,12500.0,Swiggy Pvt Ltd,B0264
INV0494,2026-06-03,11000.0,Amazon Web Services India Pvt Ltd,B0494
INV0376,2026-05-15,2500.0,Uber India Systems Pvt Ltd,B0376
INV0433,2026-03-26,100200.0,Zoho Corporation Pvt Ltd,B0433
INV0260,2026-03-28,23000.0,Uber India Systems Pvt Ltd,B0260
INV0464,2026-02-02,750.0,Swiggy Pvt Ltd,B0464
INV0024,2026-04-05,6500.0,Razorpay Software Pvt Ltd,B0024
INV0340,2026-04-29,100000.0,Amazon Web Services India Pvt Ltd,B0340
INV0050,2026-03-17,2500.0,Razorpay Software Pvt Ltd,B0050
INV0034,2026-02-24,12500.0,Zoho Corporation Pvt Ltd,B0034
INV0120,2026-08-14,1200.0,Razorpay Software Pvt Ltd,B0120
INV0391,2026-04-22,15000.0,Razorpay Software Pvt Ltd,B0391
INV0317,2026-06-02,11100.0,Flipkart Internet Pvt Ltd,B0317
INV0204,2026-04-23,9500.0,Google Cloud India,B0204
INV0140,2026-02-09,100000.0,Razorpay Software Pvt Ltd,B0140
INV0062,2026-07-14,1200.0,Uber India Systems Pvt Ltd,B0062
INV0194,2026-01-13,35000.0,Netflix Entertainment Services,B0194
INV0026,2026-06-05,1200.0,Swiggy Pvt Ltd,B0026
INV0018,2026-08-01,11000.0,Netflix Entertainment Services,B0018
INV0192,2026-07-19,2500.0,Amazon Web Services India Pvt Ltd,B0192
INV0071,2026-01-17,8900.0,Google Cloud India,B0071
INV0278,2026-03-01,9500.0,Swiggy Pvt Ltd,B0278
INV0186,2026-01-07,5500.0,Google Cloud India,B0186
INV0101,2026-01-16,100000.0,Zoho Corporation Pvt Ltd,B0101
INV0337,2026-03-23,1200.0,Uber India Systems Pvt Ltd,B0337
INV0405,2026-03-02,2500.0,Uber India Systems Pvt Ltd,B0405
INV0025,2026-06-21,7200.0,Razorpay Software Pvt Ltd,B0025
INV0222,2026-08-24,35000.0,Flipkart Internet Pvt Ltd,B0222
INV0367,2026-04-07,100000.0,Netflix Entertainment Services,B0367
INV0325,2026-01-25,500.0,Swiggy Pvt Ltd,B0325
INV0006,2026-03-01,7200.0,Meta Platforms India,B0006
INV0123,2026-06-06,11000.0,Netflix Entertainment Services,B0123
INV0049,2026-07-16,9500.0,Netflix Entertainment Services,B0049
INV0017,2026-01-21,18000.0,Meta Platforms India,B0017
INV0478,2026-06-02,18000.0,Razorpay Software Pvt Ltd,B0478
INV0422,2026-03-07,6500.0,Swiggy Pvt Ltd,B0422
INV0004,2026-06-02,1200.0,Netflix Entertainment Services,B0004
INV0360,2026-03-14,1200.0,Flipkart Internet Pvt Ltd,B0360
INV0471,2026-05-03,850.0,Amazon Web Services India Pvt Ltd,B0471
INV0065,2026-08-12,75000.0,Swiggy Pvt Ltd,B0065
INV0117,2026-01-19,2500.0,Zoho Corporation Pvt Ltd,B0117
INV0221_DUP,2026-07-05,18000.0,Razorpay Software Pvt Ltd,B0221
INV0319,2026-06-27,35000.0,Meta Platforms India,B0319
INV0031,2026-02-28,750.0,Razorpay Software Pvt Ltd,B0031
INV0185,2026-02-27,11000.0,Google Cloud India,B0185
INV0239,2026-02-12,15000.0,Swiggy Pvt Ltd,B0239
INV0028,2026-04-29,6500.0,Google Cloud India,B0028
INV0008,2026-04-18,100000.0,Google Cloud India,B0008
INV0468,2026-05-09,35000.0,Meta Platforms India,B0468
INV0115,2026-03-22,35000.0,Swiggy Pvt Ltd,B0115
INV0040,2026-04-03,19000.0,Zoho Corporation Pvt Ltd,B0040
INV0166,2026-03-07,7200.0,Zoho Corporation Pvt Ltd,B0166
INV0482,2026-04-26,22000.0,Google Cloud India,B0482
INV0125,2026-08-27,11100.0,Netflix Entertainment Services,B0125
INV0121,2026-03-14,15000.0,Google Cloud India,B0121
INV0241,2026-01-28,16000.0,Flipkart Internet Pvt Ltd,B0241
INV0182,2026-05-02,75000.0,Google Cloud India,B0182
INV0153,2026-03-31,35000.0,Google Cloud India,B0153
INV0383,2026-08-13,50000.0,Razorpay Software Pvt Ltd,B0383
INV0500,2026-07-26,8900.0,Swiggy Pvt Ltd,B0500
INV0197,2026-05-24,75000.0,Uber India Systems Pvt Ltd,B0197
INV0215,2026-05-04,18000.0,Zoho Corporation Pvt Ltd,B0215
INV0441,2026-06-21,15000.0,Uber India Systems Pvt Ltd,B0441
INV0459,2026-05-19,5000.0,Flipkart Internet Pvt Ltd,B0459
INV0150,2026-02-10,9500.0,Google Cloud India,B0150
INV0379,2026-05-01,1200.0,Flipkart Internet Pvt Ltd,B0379
INV0072,2026-05-31,500.0,Razorpay Software Pvt Ltd,B0072
INV0211,2026-04-17,35000.0,Netflix Entertainment Services,B0211
INV0178,2026-03-19,500.0,Netflix Entertainment Services,B0178
INV0389,2026-01-12,500.0,Swiggy Pvt Ltd,B0389
INV0424,2026-04-30,2500.0,Razorpay Software Pvt Ltd,B0424
INV0248,2026-06-19,22000.0,Netflix Entertainment Services,B0248
INV0116,2026-04-28,500.0,Meta Platforms India,B0116
INV0418_DUP,2026-07-11,12500.0,Swiggy Pvt Ltd,B0418
INV0154,2026-02-27,8900.0,Swiggy Pvt Ltd,B0154
INV0481,2026-07-04,100000.0,Meta Platforms India,B0481
INV0161,2026-05-29,7000.0,Swiggy Pvt Ltd,B0161
INV0270,2026-07-22,35000.0,Uber India Systems Pvt Ltd,B0270
INV0232,2026-03-31,5750.0,Netflix Entertainment Services,B0232
INV0090,2026-07-26,35000.0,Meta Platforms India,B0090
INV0314,2026-02-27,100000.0,Meta Platforms India,B0314
INV0174,2026-02-03,100000.0,Swiggy Pvt Ltd,B0174
INV0263,2026-07-24,15000.0,Google Cloud India,B0263
INV0242,2026-08-26,500.0,Zoho Corporation Pvt Ltd,B0242
INV0079,2026-03-04,50000.0,Flipkart Internet Pvt Ltd,B0079
INV0421,2026-05-09,75000.0,Razorpay Software Pvt Ltd,B0421
INV0283,2026-06-02,75000.0,Zoho Corporation Pvt Ltd,B0283
INV0252,2026-06-12,15000.0,Amazon Seller Services,B0252
INV0126,2026-03-09,5000.0,Meta Platforms India,B0126
INV0294,2026-07-30,2600.0,Uber India Systems Pvt Ltd,B0294
INV0311,2026-01-19,35000.0,Swiggy Pvt Ltd,B0311
INV0465,2026-01-30,75000.0,Amazon Seller Services,B0465
INV0368,2026-08-11,12500.0,Uber India Systems Pvt Ltd,B0368
INV0372,2026-04-09,18000.0,Uber India Systems Pvt Ltd,B0372
INV0258,2026-03-13,1200.0,Google Cloud India,B0258
INV0236,2026-02-02,9000.0,Flipkart Internet Pvt Ltd,B0236
INV0396,2026-03-01,5000.0,Zoho Corporation Pvt Ltd,B0396
INV0428,2026-03-09,500.0,Amazon Seller Services,B0428
INV0039,2026-08-18,22000.0,Zoho Corporation Pvt Ltd,B0039
INV0208,2026-04-09,9100.0,Flipkart Internet Pvt Ltd,B0208
INV0148,2026-02-15,500.0,Amazon Seller Services,B0148
INV0378,2026-08-11,22000.0,Flipkart Internet Pvt Ltd,B0378
INV0435,2026-08-21,35000.0,Meta Platforms India,B0435
INV0297,2026-01-22,11000.0,Flipkart Internet Pvt Ltd,B0297
INV0298,2026-05-23,2500.0,Google Cloud India,B0298
INV0064,2026-02-12,100000.0,Uber India Systems Pvt Ltd,B0064
INV0118,2026-05-10,7200.0,Netflix Entertainment Services,B0118
INV0304,2026-06-10,7200.0,Meta Platforms India,B0304
INV0432,2026-01-07,50000.0,Google Cloud India,B0432
INV0007,2026-05-24,500.0,Netflix Entertainment Services,B0007
INV0374,2026-06-01,75000.0,Flipkart Internet Pvt Ltd,B0374
INV0446,2026-04-26,7200.0,Razorpay Software Pvt Ltd,B0446
INV0351,2026-08-04,8900.0,Meta Platforms India,B0351
INV0167,2026-01-01,22100.0,Amazon Web Services India Pvt Ltd,B0167
INV0159,2026-08-30,14500.0,Netflix Entertainment Services,B0159
INV0188,2026-04-27,1200.0,Zoho Corporation Pvt Ltd,B0188
INV0407,2026-01-06,11000.0,Swiggy Pvt Ltd,B0407
INV0196,2026-02-04,35000.0,Meta Platforms India,B0196
INV0295,2026-05-06,18200.0,Meta Platforms India,B0295
INV0011,2026-03-29,22200.0,Flipkart Internet Pvt Ltd,B0011
INV0394,2026-06-06,1200.0,Flipkart Internet Pvt Ltd,B0394
INV0110,2026-06-18,22000.0,Meta Platforms India,B0110
INV0087,2026-04-25,100000.0,Google Cloud India,B0087
INV0041,2026-05-11,5000.0,Google Cloud India,B0041
INV0431,2026-01-28,15000.0,Amazon Seller Services,B0431
INV0177,2026-04-14,11000.0,Zoho Corporation Pvt Ltd,B0177
INV0484,2026-04-17,18000.0,Uber India Systems Pvt Ltd,B0484
INV0308,2026-04-15,500.0,Flipkart Internet Pvt Ltd,B0308
INV0388,2026-02-12,35000.0,Meta Platforms India,B0388
INV0210,2026-03-26,22000.0,Amazon Seller Services,B0210
INV0375,2026-08-12,2500.0,Razorpay Software Pvt Ltd,B0375
INV0265,2026-05-23,9500.0,Zoho Corporation Pvt Ltd,B0265
INV0262,2026-05-05,6500.0,Razorpay Software Pvt Ltd,B0262
INV0206,2026-03-25,12550.0,Swiggy Pvt Ltd,B0206
INV0096,2026-04-10,500.0,Amazon Seller Services,B0096
INV0155,2026-04-13,7200.0,Amazon Web Services India Pvt Ltd,B0155
INV0172,2026-03-21,75000.0,Swiggy Pvt Ltd,B0172
INV0272,2026-06-29,18000.0,Google Cloud India,B0272
INV0156,2026-08-10,14500.0,Razorpay Software Pvt Ltd,B0156
INV0003,2026-06-23,2500.0,Flipkart Internet Pvt Ltd,B0003
INV0099,2026-02-18,5000.0,Uber India Systems Pvt Ltd,B0099
INV0413,2026-06-23,9500.0,Google Cloud India,B0413
INV0074,2026-01-20,500.0,Google Cloud India,B0074
INV0323,2026-08-16,750.0,Zoho Corporation Pvt Ltd,B0323
INV0131,2026-05-06,75000.0,Swiggy Pvt Ltd,B0131
INV0382,2026-04-08,100000.0,Razorpay Software Pvt Ltd,B0382
INV0103,2026-05-09,50000.0,Zoho Corporation Pvt Ltd,B0103
INV0152,2026-02-26,50000.0,Amazon Web Services India Pvt Ltd,B0152
INV0253,2026-04-22,5000.0,Uber India Systems Pvt Ltd,B0253
INV0285,2026-02-28,11000.0,Google Cloud India,B0285
INV0104,2026-01-15,6500.0,Netflix Entertainment Services,B0104
INV0395,2026-05-08,8900.0,Amazon Seller Services,B0395
INV0130,2026-06-25,7200.0,Razorpay Software Pvt Ltd,B0130
INV0195,2026-08-23,8900.0,Netflix Entertainment Services,B0195
INV0214,2026-08-08,550.0,Zoho Corporation Pvt Ltd,B0214
INV0261,2026-08-06,50000.0,Amazon Web Services India Pvt Ltd,B0261
INV0404,2026-04-09,7200.0,Swiggy Pvt Ltd,B0404
INV0489,2026-07-10,2500.0,Amazon Seller Services,B0489
INV0398,2026-08-19,500.0,Swiggy Pvt Ltd,B0398
INV0415,2026-07-21,11000.0,Amazon Web Services India Pvt Ltd,B0415
INV0409,2026-08-22,750.0,Zoho Corporation Pvt Ltd,B0409
INV0437,2026-08-31,750.0,Flipkart Internet Pvt Ltd,B0437
INV0133,2026-01-12,9500.0,Amazon Seller Services,B0133
INV0315,2026-08-02,9500.0,Flipkart Internet Pvt Ltd,B0315
INV0237,2026-05-25,7500.0,Uber India Systems Pvt Ltd,B0237
INV0434,2026-06-15,8900.0,Zoho Corporation Pvt Ltd,B0434
INV0233,2026-07-21,1200.0,Google Cloud India,B0233
INV0137,2026-01-05,100000.0,Amazon Seller Services,B0137
INV0490,2026-05-23,5000.0,Razorpay Software Pvt Ltd,B0490
INV0301,2026-08-09,11000.0,Uber India Systems Pvt Ltd,B0301
INV0342,2026-06-09,15000.0,Netflix Entertainment Services,B0342
INV0390,2026-03-17,750.0,Razorpay Software Pvt Ltd,B0390
INV0303,2026-06-06,2750.0,Zoho Corporation Pvt Ltd,B0303
INV0178_DUP,2026-03-19,500.0,Netflix Entertainment Services,B0178
INV0306,2026-03-03,6500.0,Meta Platforms India,B0306
INV0438,2026-05-07,11000.0,Amazon Web Services India Pvt Ltd,B0438
INV0353,2026-05-08,5000.0,Meta Platforms India,B0353
INV0119,2026-08-27,5000.0,Swiggy Pvt Ltd,B0119
INV0190,2026-04-14,50000.0,Amazon Seller Services,B0190
INV0320,2026-08-30,18000.0,Swiggy Pvt Ltd,B0320
INV0352,2026-08-31,35000.0,Meta Platforms India,B0352
INV0343,2026-07-14,35000.0,Uber India Systems Pvt Ltd,B0343
INV0497,2026-02-27,50000.0,Flipkart Internet Pvt Ltd,B0497
INV0373,2026-01-10,50000.0,Flipkart Internet Pvt Ltd,B0373
INV0247,2026-03-30,750.0,Zoho Corporation Pvt Ltd,B0247
INV0462,2026-05-31,8900.0,Razorpay Software Pvt Ltd,B0462
INV0173,2026-04-14,12500.0,Amazon Seller Services,B0173
INV0144,2026-04-01,2500.0,Google Cloud India,B0144
INV0209,2026-01-17,7200.0,Flipkart Internet Pvt Ltd,B0209
INV0275,2026-03-30,75000.0,Netflix Entertainment Services,B0275
INV0246,2026-07-23,2500.0,Swiggy Pvt Ltd,B0246
INV0122,2026-08-02,35000.0,Flipkart Internet Pvt Ltd,B0122
INV0128,2026-03-11,5000.0,Netflix Entertainment Services,B0128
INV0361,2026-08-28,12500.0,Amazon Seller Services,B0361
INV0238,2026-06-29,35000.0,Google Cloud India,B0238
INV0417,2026-01-24,5000.0,Razorpay Software Pvt Ltd,B0417
INV0350,2026-04-15,100000.0,Amazon Web Services India Pvt Ltd,B0350
INV0135,2026-02-11,9500.0,Flipkart Internet Pvt Ltd,B0135
INV0302,2026-03-20,22500.0,Zoho Corporation Pvt Ltd,B0302
INV0426,2026-08-05,20100.0,Google Cloud India,B0426
INV0114,2026-06-21,5000.0,Amazon Seller Services,B0114
INV0486,2026-04-06,9700.0,Razorpay Software Pvt Ltd,B0486
INV0339,2026-07-31,75000.0,Amazon Seller Services,B0339
INV0141,2026-01-11,7000.0,Amazon Seller Services,B0141
INV0377,2026-07-04,500.0,Uber India Systems Pvt Ltd,B0377
INV0048,2026-06-24,2500.0,Amazon Web Services India Pvt Ltd,B0048
INV0476,2026-02-04,1200.0,Flipkart Internet Pvt Ltd,B0476
INV0070,2026-01-31,35000.0,Netflix Entertainment Services,B0070
INV0300,2026-04-26,18000.0,Netflix Entertainment Services,B0300
INV0092,2026-01-24,500.0,Netflix Entertainment Services,B0092
INV0256,2026-04-22,35000.0,Uber India Systems Pvt Ltd,B0256
INV0198,2026-07-13,12500.0,Zoho Corporation Pvt Ltd,B0198
INV0168,2026-06-25,100000.0,Netflix Entertainment Services,B0168
INV0013,2026-01-24,2500.0,Razorpay Software Pvt Ltd,B0013
INV0038,2026-03-09,101000.0,Netflix Entertainment Services,B0038
INV0030,2026-06-25,10900.0,Netflix Entertainment Services,B0030
INV0180,2026-05-01,12500.0,Zoho Corporation Pvt Ltd,B0180
INV0151,2026-08-12,18000.0,Meta Platforms India,B0151
INV0412,2026-06-12,8900.0,Razorpay Software Pvt Ltd,B0412
INV0355,2026-08-02,22000.0,Swiggy Pvt Ltd,B0355
INV0235,2026-06-09,500.0,Google Cloud India,B0235
INV0102,2026-01-13,750.0,Razorpay Software Pvt Ltd,B0102
INV0056,2026-05-19,6500.0,Razorpay Software Pvt Ltd,B0056
INV0254,2026-06-16,75000.0,Flipkart Internet Pvt Ltd,B0254
INV0386,2026-07-11,8900.0,Swiggy Pvt Ltd,B0386
INV0392,2026-05-16,8900.0,Flipkart Internet Pvt Ltd,B0392
INV0189,2026-07-03,12200.0,Amazon Seller Services,B0189
INV0045,2026-04-08,18000.0,Meta Platforms India,B0045
INV0401,2026-05-31,15000.0,Uber India Systems Pvt Ltd,B0401
INV0218,2026-05-05,8900.0,Netflix Entertainment Services,B0218
INV0299,2026-07-18,8900.0,Amazon Seller Services,B0299
INV0271,2026-03-17,1200.0,Amazon Web Services India Pvt Ltd,B0271
INV0427,2026-01-24,15000.0,Netflix Entertainment Services,B0427
INV0005,2026-01-08,750.0,Amazon Seller Services,B0005
INV0273,2026-06-19,11000.0,Google Cloud India,B0273
INV0463,2026-02-14,500.0,Razorpay Software Pvt Ltd,B0463
INV0107,2026-04-14,8900.0,Meta Platforms India,B0107
INV0240,2026-07-19,2500.0,Zoho Corporation Pvt Ltd,B0240
INV0442,2026-05-31,22050.0,Netflix Entertainment Services,B0442
INV0226,2026-01-13,6500.0,Uber India Systems Pvt Ltd,B0226
INV0181,2026-06-22,40000.0,Uber India Systems Pvt Ltd,B0181
INV0105,2026-08-06,1200.0,Netflix Entertainment Services,B0105
INV0309,2026-03-16,50000.0,Uber India Systems Pvt Ltd,B0309
INV0228,2026-03-25,35000.0,Google Cloud India,B0228
INV0066,2026-02-24,22000.0,Zoho Corporation Pvt Ltd,B0066
INV0051,2026-04-27,6500.0,Amazon Seller Services,B0051
INV0035,2026-08-15,18000.0,Uber India Systems Pvt Ltd,B0035
INV0284,2026-08-02,2500.0,Swiggy Pvt Ltd,B0284
INV0346,2026-08-16,35000.0,Swiggy Pvt Ltd,B0346
INV0212,2026-08-02,7200.0,Amazon Web Services India Pvt Ltd,B0212
INV0460,2026-01-29,6500.0,Swiggy Pvt Ltd,B0460
INV0029,2026-08-25,14500.0,Amazon Seller Services,B0029
INV0403,2026-08-05,35000.0,Swiggy Pvt Ltd,B0403
INV0244,2026-06-01,1200.0,Google Cloud India,B0244
INV0277,2026-03-11,35000.0,Razorpay Software Pvt Ltd,B0277
INV0305,2026-06-19,9500.0,Google Cloud India,B0305
INV0171,2026-07-04,2500.0,Razorpay Software Pvt Ltd,B0171
INV0440,2026-04-10,5000.0,Netflix Entertainment Services,B0440
INV0147,2026-08-14,11500.0,Flipkart Internet Pvt Ltd,B0147
INV0067,2026-07-02,7200.0,Netflix Entertainment Services,B0067
INV0143,2026-02-23,15000.0,Amazon Web Services India Pvt Ltd,B0143
INV0136,2026-06-30,100000.0,Uber India Systems Pvt Ltd,B0136
INV0368_DUP,2026-08-11,12500.0,Uber India Systems Pvt Ltd,B0368
INV0009,2026-05-31,35000.0,Google Cloud India,B0009
INV0345,2026-08-26,5000.0,Netflix Entertainment Services,B0345
INV0479,2026-04-27,11000.0,Netflix Entertainment Services,B0479
INV0069,2026-08-19,35000.0,Razorpay Software Pvt Ltd,B0069
INV0318,2026-04-23,11000.0,Zoho Corporation Pvt Ltd,B0318
INV0015,2026-07-27,9500.0,Razorpay Software Pvt Ltd,B0015
INV0165,2026-04-09,2500.0,Netflix Entertainment Services,B0165
INV0043,2026-02-09,2500.0,Amazon Web Services India Pvt Ltd,B0043
INV0400,2026-01-19,6500.0,Netflix Entertainment Services,B0400
INV0475,2026-06-05,12500.0,Meta Platforms India,B0475
INV0418,2026-07-11,12500.0,Swiggy Pvt Ltd,B0418
INV0229,2026-03-13,18000.0,Razorpay Software Pvt Ltd,B0229
INV0296,2026-02-08,750.0,Meta Platforms India,B0296
INV0448,2026-06-25,2500.0,Razorpay Software Pvt Ltd,B0448
INV0444,2026-06-07,50000.0,Meta Platforms India,B0444
INV0356,2026-03-06,50000.0,Uber India Systems Pvt Ltd,B0356
INV0250,2026-08-06,500.0,Razorpay Software Pvt Ltd,B0250
INV0219,2026-04-22,9500.0,Google Cloud India,B0219
INV0224,2026-01-22,1000.0,Amazon Seller Services,B0224
INV0312,2026-07-23,9500.0,Google Cloud India,B0312
INV0473,2026-07-02,50000.0,Meta Platforms India,B0473
INV0266,2026-08-31,75000.0,Amazon Web Services India Pvt Ltd,B0266
INV0183_DUP,2026-03-14,1200.0,Flipkart Internet Pvt Ltd,B0183
INV0474,2026-08-19,1200.0,Uber India Systems Pvt Ltd,B0474
INV0321,2026-05-19,75000.0,Swiggy Pvt Ltd,B0321
INV0371,2026-03-23,750.0,Amazon Seller Services,B0371
INV0286,2026-03-21,6500.0,Razorpay Software Pvt Ltd,B0286
INV0213,2026-08-20,18000.0,Amazon Seller Services,B0213
